doi,title,repository,publisher,landing_url,commons_url,client_id,publication_year,also_on_hal,hal_publications,hal_ids,match_reasons,object_kind
10.17632/gy6xh94yjp,"Behavioural and physiological alteration in gammarids infected with a bird acanthocephalan, following the selective killing of parasite inside its intermediate host",Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/gy6xh94yjp,https://commons.datacite.org/doi.org/10.17632/gy6xh94yjp,bl.mendeley,2025,False,0,,creator_name,dataset_repo
10.17632/gy6xh94yjp.1,"Behavioural and physiological alteration in gammarids infected with a bird acanthocephalan, following the selective killing of parasite inside its intermediate host",Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/gy6xh94yjp/1,https://commons.datacite.org/doi.org/10.17632/gy6xh94yjp.1,bl.mendeley,2025,False,0,,creator_name,dataset_repo
10.17632/js54zd2sxr,Serpentine moths and plants,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/js54zd2sxr,https://commons.datacite.org/doi.org/10.17632/js54zd2sxr,bl.mendeley,2024,False,0,,contributor_name,dataset_repo
10.17632/js54zd2sxr.1,Serpentine moths and plants,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/js54zd2sxr/1,https://commons.datacite.org/doi.org/10.17632/js54zd2sxr.1,bl.mendeley,2024,False,0,,contributor_name,dataset_repo
10.17632/pjg3v6chwg,Multistress Gammarus fossarum,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/pjg3v6chwg,https://commons.datacite.org/doi.org/10.17632/pjg3v6chwg,bl.mendeley,2025,False,0,,creator_name,dataset_repo
10.17632/pjg3v6chwg.1,Multistress Gammarus fossarum,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/pjg3v6chwg/1,https://commons.datacite.org/doi.org/10.17632/pjg3v6chwg.1,bl.mendeley,2025,False,0,,creator_name,dataset_repo
10.17632/s3jmtty2dd,Contrasting alterations in brain chemistry in a crustacean intermediate host of two acanthocephalan parasites,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/s3jmtty2dd,https://commons.datacite.org/doi.org/10.17632/s3jmtty2dd,bl.mendeley,2024,False,0,,creator_name,dataset_repo
10.17632/s3jmtty2dd.1,Contrasting alterations in brain chemistry in a crustacean intermediate host of two acanthocephalan parasites,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/s3jmtty2dd/1,https://commons.datacite.org/doi.org/10.17632/s3jmtty2dd.1,bl.mendeley,2024,False,0,,creator_name,dataset_repo
10.17882/106566,3D Meshes Dataset of Sagittal Otoliths from 22 Fish Species in the English Channel and North Sea,SEANOE,SEANOE,https://www.seanoe.org/data/00954/106566/,https://commons.datacite.org/doi.org/10.17882/106566,euvi.seanoe,2025,False,0,,,dataset_repo
10.17882/91023,Data applied to automatic method to transform routine otolith images for a standardized otolith database using R,SEANOE,SEANOE,https://www.seanoe.org/data/00798/91023/,https://commons.datacite.org/doi.org/10.17882/91023,euvi.seanoe,2022,False,0,,,dataset_repo
10.17882/99980,3D otolith mesh dataset of red mullet (Mullus barbatus) in the Mediterranean Sea,SEANOE,SEANOE,https://www.seanoe.org/data/00888/99980/,https://commons.datacite.org/doi.org/10.17882/99980,euvi.seanoe,2025,False,0,,,dataset_repo
10.18150/x1vocb,Analysis data of intermodal frequency converion in tapered photonic crystal fiber,RepOD,RepOD,https://repod.icm.edu.pl/citation?persistentId=doi:10.18150/X1VOCB,https://commons.datacite.org/doi.org/10.18150/x1vocb,tib.repod,2026,False,0,,,other
10.18419/darus-4469,Replication Data for: Fully guaranteed and computable error bounds on the energy for periodic Kohn-Sham equations with convex density functionals,DaRUS,DaRUS,https://darus.uni-stuttgart.de/citation?persistentId=doi:10.18419/darus-4469,https://commons.datacite.org/doi.org/10.18419/darus-4469,tib.ubs,2024,False,0,,,other
10.18419/darus-4469/1,aposteriori_kohn_sham.tar.gz,DaRUS,DaRUS,https://darus.uni-stuttgart.de/file.xhtml?persistentId=doi:10.18419/darus-4469/1,https://commons.datacite.org/doi.org/10.18419/darus-4469/1,tib.ubs,2024,False,0,,,other
10.21227/0n0r-re82,Retinal Fundus Multi-disease Image Dataset (RFMiD),IEEE DataPort,IEEE DataPort,https://ieee-dataport.org/open-access/retinal-fundus-multi-disease-image-dataset-rfmid,https://commons.datacite.org/doi.org/10.21227/0n0r-re82,ieee.dataport,2020,False,0,,,other
10.21227/s3g7-st65,Retinal Fundus Multi-disease Image Dataset (RFMiD),IEEE DataPort,IEEE DataPort,https://ieee-dataport.org/open-access/retinal-fundus-multi-disease-image-dataset-rfmid,https://commons.datacite.org/doi.org/10.21227/s3g7-st65,ieee.dataport,2020,False,0,,,other
10.21410/7e4/gvfuer,Connaissance et perception des questions démographiques (ELIPSS 2018),data.sciencespo,data.sciencespo,https://data.sciencespo.fr/citation?persistentId=doi:10.21410/7E4/GVFUER,https://commons.datacite.org/doi.org/10.21410/7e4/gvfuer,inist.cdsp,2020,False,0,,,dataset_repo
10.23708/kwrijj,"Replication Data for: Complex evolutionary history of coffees including Coffea canephora (Robusta coffee) revealed by full plastid genomes and 28,800 nuclear SNPs analyses",DataSuds,DataSuds,https://dataverse.ird.fr/citation?persistentId=doi:10.23708/KWRIJJ,https://commons.datacite.org/doi.org/10.23708/kwrijj,inist.ird,2020,False,0,,,dataset_repo
10.23728/b2share.018e440e8b9548a79991ec7deb231308,Testing for spatial group‑wise heteroskedasticity in spatial autocorrelation regression models: Lagrange multiplier scan tests [Data set and code],https://b2share.eudat.eu,https://b2share.eudat.eu,https://b2share.eudat.eu/records/018e440e8b9548a79991ec7deb231308,https://commons.datacite.org/doi.org/10.23728/b2share.018e440e8b9548a79991ec7deb231308,csc.csceudat,2020,False,0,,,other
10.23728/b2share.pesx6-22b05,The Influence of Geography on the Spatial Agglomeration of Production in the European Union [Database],B2SHARE,B2SHARE,https://b2share.eudat.eu/doi/10.23728/b2share.pesx6-22b05,https://commons.datacite.org/doi.org/10.23728/b2share.pesx6-22b05,csc.csceudat,2025,False,0,,creator_name,other
10.23728/b2share.xw3tv-nrv03,The Influence of Geography on the Spatial Agglomeration of Production in the European Union [Database],B2SHARE,B2SHARE,https://b2share.eudat.eu/doi/10.23728/b2share.xw3tv-nrv03,https://commons.datacite.org/doi.org/10.23728/b2share.xw3tv-nrv03,csc.csceudat,2025,False,0,,creator_name,other
10.23729/31c69e98-6773-4938-86aa-0d60d0d52dc4,LIFEPLAN NEGreenland - Global audio and image collection on biodiversity,University of Jyväskylä,University of Jyväskylä,https://etsin.fairdata.fi/dataset/1817a2f4-4ee9-4cee-89d6-013f0fde7fc6,https://commons.datacite.org/doi.org/10.23729/31c69e98-6773-4938-86aa-0d60d0d52dc4,csc.nrd,2026,False,0,,creator_name,other
10.24435/materialscloud:1p-1m,Effect of hydrogen on the local chemical bonding states and structure of amorphous alumina by atomistic and electrostatic modeling and first principles calculations of auger parameter shifts,Materials Cloud,Materials Cloud,https://archive.materialscloud.org/doi/10.24435/materialscloud:1p-1m,https://commons.datacite.org/doi.org/10.24435/materialscloud:1p-1m,ethz.marvel,2025,False,0,,,other
10.24435/materialscloud:9v-61,Effect of hydrogen on the local chemical bonding states and structure of amorphous alumina by atomistic and electrostatic modeling of auger parameter shifts,Materials Cloud,Materials Cloud,https://archive.materialscloud.org/doi/10.24435/materialscloud:9v-61,https://commons.datacite.org/doi.org/10.24435/materialscloud:9v-61,ethz.marvel,2024,False,0,,,other
10.24435/materialscloud:x3-k8,Effect of hydrogen on the local chemical bonding states and structure of amorphous alumina by atomistic and electrostatic modeling and first principles calculations of auger parameter shifts,Materials Cloud,Materials Cloud,https://archive.materialscloud.org/doi/10.24435/materialscloud:x3-k8,https://commons.datacite.org/doi.org/10.24435/materialscloud:x3-k8,ethz.marvel,2025,False,0,,,other
10.25345/c59c84,MassIVE MSV000083374 - IDY Characterization,MassIVE,MassIVE,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000083374,https://commons.datacite.org/doi.org/10.25345/c59c84,cdl.ucsd,2019,False,0,,,other
10.25666/dataosu-2015-03-06,MeCaSDa database,Laboratoire Interdisciplinaire Carnot de Bourgogne,Laboratoire Interdisciplinaire Carnot de Bourgogne,https://search-data.ubfc.fr/FR-18008901306731-2015-03-06_MeCaSDa-database.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2015-03-06,inist.osutheta,2013,False,0,,,other
10.25666/dataosu-2015-07-02,SHeCaSDa database,Laboratoire Interdisciplinaire Carnot de Bourgogne,Laboratoire Interdisciplinaire Carnot de Bourgogne,https://search-data.ubfc.fr/FR-18008901306731-2015-07-02_SHeCaSDa-database.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2015-07-02,inist.osutheta,2018,False,0,,,other
10.25666/dataosu-2015-07-02-20,TFMeCaSDa database,Laboratoire Interdisciplinaire Carnot de Bourgogne,Laboratoire Interdisciplinaire Carnot de Bourgogne,https://search-data.ubfc.fr/FR-18008901306731-2015-07-02-20_TFMeCaSDa-database.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2015-07-02-20,inist.osutheta,2018,False,0,,,other
10.25666/dataosu-2016-05-11,PROTEKER: a near-shore submarine observatory in the Kerguelen Islands for the long-term monitoring of benthic habitats,dataUBFC - Atelier de la donnée de Bourgogne-Franche-Comté,dataUBFC - Atelier de la donnée de Bourgogne-Franche-Comté,https://search-data.ubfc.fr/FR-18008901306731-2016-05-11_PROTEKER-a-near-shore-submarine-observatory-in.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2016-05-11,inist.osutheta,2024,False,0,,,other
10.25666/dataosu-2016-07-19-02,Crystal structure of tricarbon­yl([mu]-di­phenyl­phosphido-[kappa]2P:P)(methyl­diphenyl­silyl-[kappa]Si)bis(tri­phenyl­phosphane-[kappa]P)iron(II)platinum(0)(Fe-Pt),International Union of Crystallography,International Union of Crystallography,https://search-data.ubfc.fr/FR-18008901306731-2016-07-19-02_Crystal-structure-of.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2016-07-19-02,inist.osutheta,2015,False,0,,,other
10.25666/dataosu-2016-07-19-03,Crystal structure of di-[mu]-iodido-bis­[(dimethyl sulfoxide-[kappa]O)(tri­phenyl­phosphane-[kappa]P)copper(I)],International Union of Crystallography,International Union of Crystallography,https://search-data.ubfc.fr/FR-18008901306731-2016-07-19-03_Crystal-structure-of.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2016-07-19-03,inist.osutheta,2014,False,0,,,other
10.25666/dataosu-2016-07-19-04,"Diethyl 2,2'-(1,4-phenyl­enedi­oxy)­diacetate",International Union of Crystallography,International Union of Crystallography,https://search-data.ubfc.fr/FR-18008901306731-2016-07-19-04_Diethyl-2-2-1-4-phenyl-enedi-oxy-diacetate.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2016-07-19-04,inist.osutheta,2012,False,0,,,other
10.25666/dataosu-2016-07-20,Reactivity of CuI and CuBr toward Dialkyl Sulfides RSR: From Discrete Molecular Cu4I4S4 and Cu8I8S6 Clusters to Luminescent Copper(I) Coordination Polymers,American Chemical Society,American Chemical Society,https://search-data.ubfc.fr/FR-18008901306731-2016-07-20_Reactivity-of-CuI-and-CuBr-toward-Dialkyl.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2016-07-20,inist.osutheta,2015,False,0,,,other
