halId_s,uri_s,title_s,doiId_s,code_repositories,swhids,swh_browse_urls,related_publications,programming_languages,hal_file
hal-02101352,https://inria.hal.science/hal-02101352v1,SciFloware,,http://www-sop.inria.fr/members/Didier.Parigot/pmwiki/Scifloware,,,,,
hal-04453220,https://hal.science/hal-04453220v1,SENSAAS,,https://github.com/SENSAAS/,swh:1:dir:2858ff412eabe73af2d3528ad7b1611fcd0ab969;origin=https://hal.archives-ouvertes.fr/hal-04453220;visit=swh:1:snp:8ca88a0f66dff1a3e811e11fa9133dfc4e455fc4;anchor=swh:1:rel:65b5fe10704c2941e60a0b29713f546a5308a0fe;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:2858ff412eabe73af2d3528ad7b1611fcd0ab969,10.1002/minf.202000081 | hal-02879260,english,https://hal.science/hal-04453220/document
hal-02091542,https://inria.hal.science/hal-02091542v1,sensbiotk,,https://github.com/sensbio/sensbiotk,swh:1:dir:af9353d46fc39d2351fd2c36ac18bf427e47b007;origin=https://github.com/sensbio/sensbiotk;visit=swh:1:snp:8728351451a797f8890bac78c507a1cd5a3e1096;anchor=swh:1:rev:0a828ee78ce7cd46b48cc1824d06f3c024fcd5c5,https://archive.softwareheritage.org/browse/swh:1:dir:af9353d46fc39d2351fd2c36ac18bf427e47b007,,Python,
hal-02101335,https://inria.hal.science/hal-02101335v1,Shared-data Overlay Network (SON),,http://www-sop.inria.fr/members/Didier.Parigot/pmwiki/SON,,,,Java,
hal-02096036,https://hal.science/hal-02096036v1,Snoop,,,,,,C++,
hal-04903539,https://inria.hal.science/hal-04903539v1,SOFA,,https://github.com/sofa-framework/sofa,swh:1:cnt:3de90b67ca1dd6e12c9fc326bb7037cb9b4bdf7c;origin=https://github.com/sofa-framework/sofa;visit=swh:1:snp:3fe570d6f99f87bb576ba7b86134990305f7aee1;anchor=swh:1:rev:aedc7ffea53e1a1b406b5e1c32b344cf53d9dbd1;path=/Authors.txt,https://archive.softwareheritage.org/browse/swh:1:cnt:3de90b67ca1dd6e12c9fc326bb7037cb9b4bdf7c,10.1007/8415_2012_125 | hal-00681539,C++ | Python 3.10,
hal-04950075,https://hal.science/hal-04950075v1,Sound Trajectory version 2,,https://github.com/maxence-mercier/Sound-Trajectory,swh:1:dir:baf561e7448d729ef54b94e94d333f4eea6ccac0;origin=https://hal.archives-ouvertes.fr/hal-04950075;visit=swh:1:snp:2b673e52ec0ecf5504aed1d2edb65705605eff87;anchor=swh:1:rel:8a95caa40fa24528d3e5350efc715d1cbbf2467a;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:baf561e7448d729ef54b94e94d333f4eea6ccac0,,Max | Javascript,https://hal.science/hal-04950075/document
hal-04115815,https://hal.science/hal-04115815v1,SPARQL Micro-Services,10.5281/zenodo.7756248,https://github.com/frmichel/sparql-micro-service.git,swh:1:dir:60866808c3fe54782fa93a8ebf7c849584b5e8ea;origin=https://github.com/frmichel/sparql-micro-service;visit=swh:1:snp:a942f5053178ab76149aa4cfc3ff95b1d33a24f1;anchor=swh:1:rev:b138e412f40a4add298d3dab32c106fffd86d62a,https://archive.softwareheritage.org/browse/swh:1:dir:60866808c3fe54782fa93a8ebf7c849584b5e8ea,hal-01722792 | hal-01783936 | hal-01856365 | hal-01947589 | hal-02060966,PHP | SPARQL,
hal-02804975,https://hal.inrae.fr/hal-02804975v4,SWASHES: Shallow Water Analytic Solutions for Hydraulic and Environmental Studies,,https://sourcesup.renater.fr/projects/swashes/,swh:1:dir:40a2735f1bcc3dcb8e45e9d45465b172fcb9247c;origin=https://subversion.renater.fr/anonscm/svn/swashes;visit=swh:1:snp:29938e5264b02bb66d84366347ae52a21e66acce;anchor=swh:1:rev:9a09e84f43eda07fec8a2cfdd0eb1b002237ffda;path=/tags/release-1.05.00/,https://archive.softwareheritage.org/browse/swh:1:dir:40a2735f1bcc3dcb8e45e9d45465b172fcb9247c,10.1002/fld.3741 | hal-00628246 | hal-03762587 | hal-00694195 | hal-04959018 | hal-00687689 | hal-04801276 | hal-02806353,C++,
hal-04449959,https://hal.science/hal-04449959v1,Symfinder: Identifying and visualizing variability implementations in variability-rich Java systems,,https://github.com/DeathStar3/symfinder,swh:1:dir:e6bcb32df0449c85efbc69955449917b9f7b6d90;origin=https://github.com/deathstar3/symfinder;visit=swh:1:snp:1f775e2314a770b871f40df1b69c6019baf1e35a;anchor=swh:1:rev:dd2d24dbaadf5a6f9c21157033584ca99423a759,https://archive.softwareheritage.org/browse/swh:1:dir:e6bcb32df0449c85efbc69955449917b9f7b6d90,,Java | Javascript | Python,
hal-05556151,https://hal.science/hal-05556151v1,T2S-Metrics,10.5281/zenodo.19051441,https://github.com/Wimmics/t2s-metrics,swh:1:dir:614ae121800384a7fb802dc20f7738cc433e9f20;origin=https://github.com/Wimmics/t2s-metrics;visit=swh:1:snp:87aa07e4a2c74e0a4eb6fbc8a7b8c2564de0df72;anchor=swh:1:rev:139143973d741210027b9e93a2586b0602f1a96b,https://archive.softwareheritage.org/browse/swh:1:dir:614ae121800384a7fb802dc20f7738cc433e9f20,,Python,
hal-03116143,https://hal.science/hal-03116143v1,TALON: Tractograms As Linear Operators in Neuroimaging,,https://gitlab.inria.fr/cobcom/talon,swh:1:dir:f25157ad1b13cb20ac3457d4f6756b49ac63d079;origin=https://hal.archives-ouvertes.fr/hal-03116143;visit=swh:1:snp:465d89956196578717f4cb5155e456c279aa6a22;anchor=swh:1:rev:10247a14640a280b9140a27ce003d382d70cccac;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:f25157ad1b13cb20ac3457d4f6756b49ac63d079,,Python,https://hal.science/hal-03116143/document
hal-01954564,https://inria.hal.science/hal-01954564v1,"The Coq Proof Assistant, version 8.8.0",10.5281/zenodo.1219885,http://github.com/coq/coq,swh:1:dir:3814a52cbb8fbbd6b4ad00b6c1a6c265ad54e9d7;origin=https://github.com/rocq-prover/rocq;visit=swh:1:snp:4b240592a620f52ddb368ef0ff54938255a3ba64;anchor=swh:1:rev:4ac14152e1a44b8bc399ab8c1782e762ba002b76,https://archive.softwareheritage.org/browse/swh:1:dir:3814a52cbb8fbbd6b4ad00b6c1a6c265ad54e9d7,,OCaml,
hal-02096028,https://hal.science/hal-02096028v1,ThePlantGame,,,,,,,
hal-02101258,https://inria.hal.science/hal-02101258v1,Triton Server,,,,,,,
hal-04450024,https://hal.science/hal-04450024v1,VariCity: Visualization of Object-Oriented Variability Implementations as Cities,,,swh:1:dir:e1e0b300a1a6c5917ec0a83976c4417da3fe17c5;origin=https://github.com/DeathStar3/varicity;visit=swh:1:snp:31f9d44e4dcd636146a63aade299b411bab88956;anchor=swh:1:rev:ecc467f94cfcc52fe51e655f20bbafd06f60b0d4,https://archive.softwareheritage.org/browse/swh:1:dir:e1e0b300a1a6c5917ec0a83976c4417da3fe17c5,,Java | Javascript | TypeScript | HTML,
hal-00859581,https://inria.hal.science/hal-00859581v1,VITELBIO,,,,,,MATLAB,
hal-02092613,https://inria.hal.science/hal-02092613v1,WebSmatch,,http://websmatch.gforge.inria.fr,,,,,
