halId_s,uri_s,title_s,doiId_s,code_repositories,swhids,swh_browse_urls,related_publications,programming_languages,hal_file
hal-04848170,https://hal.science/hal-04848170v1,funHDDC,,https://github.com/JuJacques/Functional-Data,swh:1:dir:4be8b83ba7a2cee969df672cf1bf589bba0a8095;origin=https://hal.archives-ouvertes.fr/hal-04848170;visit=swh:1:snp:70ec4344f3779c0db836a010d9971646e1fbd502;anchor=swh:1:rel:879f9c3999673e28b60bb2f786c31090a400d6bc;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:4be8b83ba7a2cee969df672cf1bf589bba0a8095,hal-01652467,R,
hal-04209625,https://hal.science/hal-04209625v1,GemClus,,https://github.com/gemini-clustering/GemClus,,,,Python 3.8,https://hal.science/hal-04209625/document
hal-05555627,https://hal.science/hal-05555627v1,Gen²KGBot,10.5281/zenodo.19005500,https://github.com/Wimmics/gen2kgbot,swh:1:dir:7c75f8d54d70c2b0a7c76c6ca0308073e6a1f3df;origin=https://github.com/Wimmics/gen2kgbot;visit=swh:1:snp:54dc215eddc4deec842c15d8dbcb2a5f7f9ccafa;anchor=swh:1:rev:b9ffc3c67947e2d6f2e67ad35769d8079d9c40cf,https://archive.softwareheritage.org/browse/swh:1:dir:7c75f8d54d70c2b0a7c76c6ca0308073e6a1f3df,hal-05070442 | hal-05332768 | hal-05289986 | hal-05289962,Python,
hal-01827043,https://inria.hal.science/hal-01827043v1,Geometry plus Simulation Modules (G+Smo),,https://github.com/gismo/gismo,swh:1:dir:f10fab64a4c0c88d74b934d98ea1e4f8222ed326;origin=https://github.com/gismo/gismo;visit=swh:1:snp:dd59419514fee0c74cb45bb5633070bef0908bf0;anchor=swh:1:rev:cdbcd3275037f598a2da3a6edc3fa6d8c2beed3e,https://archive.softwareheritage.org/browse/swh:1:dir:f10fab64a4c0c88d74b934d98ea1e4f8222ed326,,C++,
hal-05038713,https://inria.hal.science/hal-05038713v1,Hierarchy Builder,,,swh:1:dir:50c5087fc42a2f95913dada99ef4ac1cdba66d7b,https://archive.softwareheritage.org/browse/swh:1:dir:50c5087fc42a2f95913dada99ef4ac1cdba66d7b,,,
hal-03438325,https://inria.hal.science/hal-03438325v1,Hyperbolicity,,,swh:1:dir:719d653945a6c7958028c8b5aab00960fb52d551;origin=https://gitlab.inria.fr/dcoudert/hyperbolicity/;visit=swh:1:snp:0d13e52e2c1d0b4e50153af070155c216f148d3e;anchor=swh:1:rev:4f9c8ce6eed890ed5bad1f56ff550577b4819bad,https://archive.softwareheritage.org/browse/swh:1:dir:719d653945a6c7958028c8b5aab00960fb52d551,,,
hal-02095640,https://inria.hal.science/hal-02095640v1,Imitates,,https://github.com/lev-a/spark-parsketch/,swh:1:dir:852dd9098d2f1119b546f2067ed9532eaba274e6;origin=https://github.com/lev-a/spark-parSketch;visit=swh:1:snp:cd59cb222ee99935f6feba841284702598eb21cb;anchor=swh:1:rev:1ff4e32f95fefd7f77c86bcb8d16da6e3f1dc90b,https://archive.softwareheritage.org/browse/swh:1:dir:852dd9098d2f1119b546f2067ed9532eaba274e6,lirmm-01886794,Scala,
hal-02091524,https://inria.hal.science/hal-02091524v1,IMUSEF,,https://gite.lirmm.fr/CAMIN/imusef/imusef_app,,,,,
hal-04807540,https://hal.science/hal-04807540v1,ISSA Pipeline,10.5281/zenodo.1423046,https://github.com/issa-project/issa-pipeline,swh:1:rev:0ca5a450c3ba350eb2bb413a7b1fcdc7aa2a293b,https://archive.softwareheritage.org/browse/swh:1:rev:0ca5a450c3ba350eb2bb413a7b1fcdc7aa2a293b,hal-03807744,python,
hal-03438331,https://inria.hal.science/hal-03438331v1,k shortest simple paths,,,swh:1:dir:4dc5b3b01ddcd9091dd5a628916638a1cefd8e0c;origin=https://gitlab.inria.fr/dcoudert/k-shortest-simple-paths/;visit=swh:1:snp:f0cc7e5f3ec6200d39061db55146a7ab340fee95;anchor=swh:1:rev:124c172d617e485a6b3cd5dc6db7768d86a3a5af,https://archive.softwareheritage.org/browse/swh:1:dir:4dc5b3b01ddcd9091dd5a628916638a1cefd8e0c,hal-03196830 | 10.4230/LIPIcs.SEA.2020.18,C++,
hal-04596510,https://hal.science/hal-04596510v1,KMADe: Kernel of Model for Activity Description environment,,https://github.com/lias-laboratory/kmade,swh:1:dir:70a927a515cf2e8175f5d15aea42bc3ffa922670;origin=https://github.com/lias-laboratory/kmade;visit=swh:1:snp:acaf2d90c77be1b4a1ccd74c2ff875c65b091cf6;anchor=swh:1:rev:7be06f8eedd75af28bb1b82f6b30c63e7fc3dff8,https://archive.softwareheritage.org/browse/swh:1:dir:70a927a515cf2e8175f5d15aea42bc3ffa922670,hal-03592592 | hal-00950015,Java,
hal-02098365,https://inria.hal.science/hal-02098365v1,LogMagnet,10.1145/2480362.2480419,,,,,,
hal-05038721,https://inria.hal.science/hal-05038721v1,Mathematical Components Analysis,,,swh:1:dir:5fe4b61acc38fea6066881d466ac64524e90a4cd,https://archive.softwareheritage.org/browse/swh:1:dir:5fe4b61acc38fea6066881d466ac64524e90a4cd,,,
hal-04402753,https://hal.science/hal-04402753v1,MIRAI (Prediction of miRNA-disease associations with a vector space model),,https://github.com/claudepasquier/mirai/,swh:1:dir:2cedbc5336bbdfdcf93623d663f62b63446f4818;origin=https://hal.archives-ouvertes.fr/hal-04402753;visit=swh:1:snp:a1f496118b4614a58435db8b7b7ab54ed3428228;anchor=swh:1:rel:d4cf75d2f31c6332343d6e11130a13bac19f585a;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:2cedbc5336bbdfdcf93623d663f62b63446f4818,hal-01324962 | 10.1038/srep27036 | 10.48550/arXiv.1606.00309,Python 3,https://hal.science/hal-04402753/document
hal-04847690,https://hal.science/hal-04847690v1,Model-Based Co-Clustering of Functional Data,,https://cran.r-project.org/web/packages/funLBM/,swh:1:dir:0eab93e23e6bb95c94c6c14c3ebd3bd0a81bf478;origin=https://hal.archives-ouvertes.fr/hal-04847690;visit=swh:1:snp:379a0e7880fe2d0fcf33ce0fd938b79f2c388145;anchor=swh:1:rel:e2ce0df901c7c9cbe2c9b08784703bc8b32faca1;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:0eab93e23e6bb95c94c6c14c3ebd3bd0a81bf478,hal-02862177,R,
hal-04128090,https://hal.science/hal-04128090v1,Morph-xR2RML: MongoDB-to-RDF translation,,https://github.com/frmichel/morph-xr2rml,swh:1:dir:8ea716c0d9e69527a5f50378bf135c5952b1a229;origin=https://github.com/frmichel/morph-xr2rml;visit=swh:1:snp:1a5ab65813d598dd4d7353a5f982f7a815e9537c;anchor=swh:1:rev:04f1cd7c5db406bccdb92c29d9fc74bf61a3813c,https://archive.softwareheritage.org/browse/swh:1:dir:8ea716c0d9e69527a5f50378bf135c5952b1a229,10.5281/zenodo.5148233 | cel-01585312 | hal-01066663 | hal-01207828 | hal-01612451 | hal-01926379 | hal-02939363 | hal-03230741 | hal-03282619 | hal-03404580 | hal-03619869 | hal-03657694 | hal-03762964 | hal-03807744 | hal-03812106 | hal-03889968 | hal-03969275,Scala,
hal-05675918,https://hal.science/hal-05675918v1,Mother of all BCI Benchmarks,10.5281/zenodo.17558294,https://github.com/NeuroTechX/moabb/,swh:1:dir:6d89a182d4e69572a73784c6616ef1cee5493d77,https://archive.softwareheritage.org/browse/swh:1:dir:6d89a182d4e69572a73784c6616ef1cee5493d77,hal-04537061,Python,
hal-05070590,https://hal.science/hal-05070590v1,MPFI: Multiple Precision Floating-point Interval Library,,https://gitlab.inria.fr/mpfi/mpfi,swh:1:dir:84667c5f1779bbb1bf29cb8a1a3b46b9a39a05c3;origin=https://gitlab.inria.fr/mpfi/mpfi;visit=swh:1:snp:7d324eee7554d4bb6e08226954cd47401c1b078f;anchor=swh:1:rev:34b9309998f553abf83a77717742203b97390cc3,https://archive.softwareheritage.org/browse/swh:1:dir:84667c5f1779bbb1bf29cb8a1a3b46b9a39a05c3,,C,
hal-02099602,https://inria.hal.science/hal-02099602v1,museval,,https://github.com/sigsep/sigsep-mus-eval,swh:1:dir:123d93cd03f5e9ace5dd52b6d6d7d04246b6a977;origin=https://github.com/sigsep/sigsep-mus-eval;visit=swh:1:snp:49a9662a706fbe5d6a1f0f19e9488fa6dce3f2e8;anchor=swh:1:rev:d96d2ff47bab8edd0e8fad9cfe90233f340cb4ad,https://archive.softwareheritage.org/browse/swh:1:dir:123d93cd03f5e9ace5dd52b6d6d7d04246b6a977,10.5281/zenodo.2635786,python,
